Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
18985,0.77,Very Good,G,VS2,61.3,60.0,5.81,5.91,3.59,2896
19542,0.71,Ideal,E,SI1,59.9,56.0,5.86,5.8,3.49,2704
8467,0.54,Ideal,F,VS1,61.1,55.0,5.26,5.32,3.23,2083
9405,0.81,Ideal,F,VS2,61.9,55.0,6.0,5.95,3.7,3624
22071,0.57,Ideal,F,VS2,61.6,56.0,5.37,5.34,3.3,1684
14723,0.7,Premium,E,VS2,62.8,61.0,5.66,5.62,3.54,2737
23892,1.09,Premium,G,SI1,61.8,59.0,6.59,6.53,4.06,4322
19820,0.8,Good,H,VS2,63.4,60.0,5.92,5.82,3.72,2845
5550,0.56,Ideal,D,VS2,61.2,56.0,5.3,5.35,3.26,1963
11967,0.7,Ideal,F,SI2,62.1,57.0,5.65,5.69,3.52,2398
2737,0.3,Good,G,VS1,63.5,58.0,4.21,4.26,2.69,565
3467,0.41,Very Good,F,IF,63.3,56.0,4.69,4.75,2.99,1255
14364,1.44,Very Good,E,I1,61.1,62.0,7.15,7.23,4.39,5068
8139,0.31,Ideal,F,VS2,61.8,56.0,4.33,4.37,2.69,625
8755,0.94,Premium,E,SI2,62.4,58.0,6.33,6.26,3.93,4027
20499,0.5,Good,D,SI1,60.5,57.0,5.1,5.14,3.1,1447
25380,0.33,Very Good,E,SI2,60.0,59.0,4.47,4.49,2.69,463
26582,1.56,Very Good,J,SI2,62.0,57.0,7.37,7.44,4.59,6662
1318,1.01,Ideal,D,VVS2,61.9,56.0,6.41,6.45,3.98,11442
387,1.04,Ideal,F,SI1,61.3,56.0,6.55,6.5,4.0,5882
17903,1.13,Premium,F,I1,62.3,56.0,6.69,6.61,4.14,3607
3160,0.51,Ideal,G,VS2,62.0,56.0,5.18,5.11,3.19,1443
13637,0.51,Ideal,E,SI1,61.5,55.0,5.18,5.16,3.18,1546
16893,2.02,Fair,H,SI1,56.2,61.0,8.8,8.33,4.81,15695
1323,1.12,Very Good,D,SI1,59.9,57.0,6.76,6.8,4.06,6132
10087,0.41,Ideal,D,SI1,62.7,56.0,4.78,4.73,2.98,1015
22022,0.99,Fair,I,SI2,68.1,56.0,6.21,6.06,4.18,2811
4375,1.03,Premium,G,SI2,60.6,60.0,6.53,6.5,3.95,4557
6612,1.02,Ideal,H,SI1,61.7,57.0,6.45,6.48,3.99,5047
19412,0.28,Very Good,D,VS1,60.5,58.0,4.23,4.26,2.57,458
22083,0.87,Very Good,H,SI1,62.2,57.0,6.05,6.11,3.78,3180
24551,2.18,Very Good,E,I1,62.0,60.0,8.25,8.33,5.14,10340
12061,0.73,Ideal,E,SI1,60.1,56.0,5.91,5.87,3.54,2661
5027,0.33,Good,D,VS2,61.8,61.0,4.4,4.44,2.73,652
16921,1.01,Ideal,E,VVS2,60.0,55.0,6.56,6.6,3.95,9310
23997,0.91,Fair,I,SI2,65.0,58.0,6.05,6.02,3.92,2129
19547,0.84,Premium,E,VS1,59.7,59.0,6.16,6.13,3.67,4318
1930,2.06,Ideal,I,SI2,63.3,54.0,8.09,8.14,5.13,14505
805,0.41,Premium,F,VS1,61.2,57.0,4.8,4.77,2.93,1076
10513,1.28,Very Good,I,VS1,62.8,57.0,6.9,6.95,4.35,6726
10404,1.33,Ideal,J,VS1,61.3,57.0,7.08,7.11,4.35,5852
5795,0.57,Ideal,E,VS2,60.8,56.0,5.4,5.35,3.27,1819
25938,1.5,Good,H,VS1,64.2,56.0,7.3,7.09,4.62,8749
3739,0.77,Very Good,J,VVS1,62.8,58.0,5.78,5.84,3.65,2532
340,1.02,Premium,G,SI2,62.9,59.0,6.4,6.38,4.02,4370
18118,0.41,Ideal,D,VS2,62.2,57.0,4.72,4.76,2.95,1007
19095,1.58,Ideal,H,VVS2,62.0,56.0,7.44,7.49,4.63,12897
8225,1.15,Ideal,G,SI1,61.7,56.0,6.72,6.76,4.16,5224
15341,0.32,Ideal,F,VS2,61.6,57.0,4.43,4.4,2.72,828
23335,0.3,Ideal,F,VS2,62.3,53.5,4.27,4.32,2.68,601
26448,1.06,Good,F,VS1,58.5,57.0,6.68,6.73,3.92,7699
13908,0.34,Premium,I,SI1,60.4,56.0,4.56,4.54,2.75,589
17003,0.31,Premium,G,VS1,61.2,59.0,4.35,4.37,2.67,625
776,0.3,Ideal,I,SI1,60.4,59.0,4.33,4.35,2.62,439
16045,1.0,Premium,G,VS1,62.3,58.0,6.39,6.3,3.95,6290
10346,1.34,Ideal,H,VVS1,62.1,56.0,7.05,7.11,4.4,10255
21248,0.83,Premium,E,SI1,62.2,59.0,6.05,5.97,3.74,2913
10324,1.21,Premium,I,SI1,62.1,56.0,6.92,6.76,4.25,5421
10091,0.57,Ideal,E,VS2,62.9,57.0,5.29,5.26,3.32,1949
19550,1.2,Premium,G,SI2,62.6,61.0,6.73,6.68,4.2,4250
9464,0.32,Ideal,G,VS2,61.8,57.0,4.38,4.42,2.72,561
14092,1.04,Ideal,H,SI1,59.7,60.0,6.61,6.59,3.94,4812
8067,0.5,Very Good,I,SI1,63.2,57.0,5.07,5.09,3.21,1087
11208,0.52,Very Good,E,SI2,61.8,54.0,5.15,5.18,3.19,1120
23110,0.7,Very Good,E,IF,63.4,58.0,5.64,5.59,3.56,3622
9728,0.3,Premium,H,SI1,60.1,55.0,4.41,4.38,2.64,554
2476,1.51,Good,J,VS2,59.5,61.0,7.45,7.62,4.48,7476
2487,0.24,Ideal,H,VVS1,61.5,55.0,3.99,4.02,2.46,504
8821,0.71,Good,F,SI1,63.9,57.0,5.57,5.61,3.57,2331
16790,0.7,Very Good,I,VS2,61.1,60.0,5.67,5.75,3.49,2166
12619,1.01,Premium,F,VS2,61.2,57.5,6.43,6.45,3.94,7277
26416,0.54,Ideal,E,VS2,62.2,55.0,5.24,5.21,3.25,1847
17512,0.72,Good,F,SI1,63.1,56.0,5.67,5.68,3.58,2647
233,1.01,Ideal,G,VS1,61.8,57.0,6.45,6.4,3.97,6618
13991,1.52,Premium,E,VS1,60.6,58.0,7.44,7.38,4.49,16779
12018,0.7,Very Good,G,VS1,59.3,62.0,5.74,5.8,3.42,2473
16041,0.31,Good,H,VS2,63.2,58.0,4.31,4.33,2.73,489
7380,0.63,Ideal,F,VVS2,61.2,56.0,5.53,5.55,3.39,3351
12483,0.35,Premium,G,VS1,61.5,58.0,4.54,4.5,2.78,906
23039,0.31,Very Good,G,SI1,,55.0,4.31,4.34,2.7,462
23818,0.53,Very Good,F,VS2,62.7,57.0,5.1,5.14,3.21,1592
2791,0.54,Ideal,E,SI1,61.3,56.0,5.22,5.25,3.21,1422
15339,0.4,Ideal,E,VS1,61.6,56.0,4.78,4.73,2.93,1125
1876,0.7,Very Good,F,SI1,60.3,59.0,5.73,5.78,3.47,2312
14133,0.56,Ideal,D,VS2,61.5,57.0,5.33,5.28,3.26,2066
15364,0.71,Very Good,E,VS2,63.5,59.0,5.68,5.59,3.58,2858
7988,0.55,Very Good,F,SI1,59.1,59.0,5.36,5.4,3.18,1370
18462,0.58,Very Good,E,SI1,63.1,56.0,5.36,5.32,3.37,1641
21004,2.01,Good,E,SI2,63.1,58.0,7.89,8.01,5.02,15255
1645,0.34,Ideal,G,VS2,62.9,55.0,4.52,4.45,2.82,765
17518,0.52,Premium,G,VS1,,60.0,5.19,5.13,3.16,1815
8935,1.7,Very Good,F,I1,63.1,56.0,7.62,7.51,4.78,5998
16179,0.54,Ideal,D,VS1,62.0,56.0,5.21,5.25,3.24,1941
23869,0.41,Very Good,E,SI1,63.1,57.0,4.73,4.71,2.98,878
15995,0.74,Very Good,E,VVS2,61.9,59.0,5.74,5.77,3.56,3616
12038,1.51,Very Good,G,VS1,61.8,57.0,7.31,7.42,4.55,13348
14581,1.06,Good,F,SI2,62.2,61.0,6.47,6.53,4.04,4357
12841,0.25,Premium,E,VVS1,62.9,58.0,4.03,4.01,2.53,740
12540,0.38,Ideal,D,VVS2,61.3,56.0,4.73,4.63,2.87,1257
22681,1.0,Premium,E,VS2,62.7,59.0,6.31,6.38,3.98,6600
774,0.91,Ideal,I,VS1,62.1,57.0,6.2,6.23,3.86,3906
17430,0.25,Very Good,F,VVS2,62.0,59.0,3.99,4.04,2.49,576
9874,0.33,Very Good,E,SI1,60.2,58.0,4.49,4.55,2.72,579
6242,0.52,Ideal,F,VS1,62.3,55.0,5.16,5.21,3.23,1778
16923,1.2,Ideal,J,VS1,61.0,57.0,6.81,6.89,4.18,5722
6313,0.74,Ideal,G,SI1,61.3,55.0,5.85,5.86,3.59,2852
2023,1.51,Very Good,F,VS1,58.9,60.0,7.46,7.54,4.42,14481
6390,0.41,Ideal,D,SI1,61.7,56.0,4.77,4.8,2.95,744
2185,0.59,Very Good,G,VVS1,61.5,55.0,5.4,5.43,3.33,2256
23366,1.65,Ideal,G,VS2,62.2,55.0,7.6,7.57,4.72,9425
25268,0.7,Very Good,E,SI1,63.5,59.0,5.53,5.49,3.5,2838
9996,0.84,Good,G,VS2,63.6,59.0,5.89,5.94,3.76,3370
24669,0.43,Ideal,J,VS1,61.7,58.0,4.8,4.84,2.98,703
10034,0.34,Premium,H,VS1,60.8,59.0,4.53,4.48,2.74,765
20658,0.87,Ideal,H,SI1,62.5,57.0,6.13,6.06,3.81,2923
11213,0.81,Premium,E,SI2,60.1,59.0,6.09,6.03,3.65,2368
10969,0.31,Premium,G,SI2,61.3,58.0,4.4,4.37,2.69,523
2094,0.41,Very Good,G,VVS2,61.1,55.0,4.8,4.82,2.94,932
22924,0.31,Ideal,G,IF,61.9,56.0,4.33,4.35,2.68,871
375,1.39,Ideal,J,VS2,60.9,57.0,7.2,7.25,4.4,6831
23098,1.74,Premium,H,SI1,62.1,59.0,7.69,7.63,4.76,7932
8864,0.94,Premium,H,VS2,60.1,59.0,6.35,6.32,3.81,4548
4785,0.57,Premium,D,SI1,60.2,60.0,5.36,5.34,3.22,1847
749,1.1,Very Good,G,VS1,60.3,62.0,6.72,6.67,4.04,6951
15801,0.3,Premium,H,VVS1,60.7,58.0,4.38,4.35,2.65,796
95,0.5,Very Good,E,VVS2,60.9,59.0,5.07,5.11,3.1,2003
7913,0.4,Ideal,G,IF,62.0,56.0,4.73,4.76,2.94,1229
10725,0.4,Premium,D,SI2,61.7,58.0,4.69,4.74,2.91,666
17550,0.4,Very Good,D,VVS2,58.3,59.0,4.88,4.9,2.85,1078
23064,1.51,Premium,H,I1,60.9,56.0,7.38,7.26,4.46,4404
17654,1.59,Ideal,J,SI1,62.4,55.0,7.45,7.48,4.66,8176
9507,0.59,Very Good,I,VS2,60.3,59.0,5.41,5.43,3.27,1445
14236,1.36,Premium,J,VS2,58.4,59.0,7.4,7.27,4.28,6157
18254,0.91,Very Good,D,SI2,61.5,56.0,6.22,6.27,3.84,4123
16685,0.81,Very Good,J,VS2,60.4,59.0,6.04,6.11,3.67,2283
9969,2.29,Premium,J,IF,61.4,60.0,8.45,8.49,5.2,18426
23795,0.32,Good,D,SI1,63.7,55.0,4.35,4.38,2.78,589
9926,0.71,Very Good,J,SI1,61.0,61.0,5.66,5.71,3.47,1760
13397,0.51,Very Good,G,IF,63.8,58.0,5.06,5.09,3.24,2063
11449,0.39,Ideal,D,VS1,61.9,57.0,4.71,4.69,2.91,1170
19870,0.9,Very Good,G,VS1,61.4,57.0,6.2,6.24,3.82,5135
13238,0.53,Ideal,G,VVS2,62.5,54.0,5.21,5.19,3.25,1914
13310,0.25,Ideal,F,VVS2,61.7,56.0,4.06,4.07,2.51,705
23704,0.3,Ideal,G,VS1,61.8,55.0,4.33,4.31,2.67,776
12040,0.52,Ideal,F,VS1,62.5,57.0,5.17,5.13,3.22,1707
3837,1.2,Ideal,G,VVS2,62.2,55.0,6.77,6.81,4.23,9407
15222,1.01,Good,H,SI1,60.6,61.0,6.35,6.39,3.86,4242
20468,0.3,Premium,E,VS2,61.7,61.0,4.31,4.28,2.65,844
13030,1.06,Ideal,H,VS2,62.4,57.0,6.54,6.48,4.06,4416
19131,0.33,Ideal,G,VVS2,61.7,55.0,4.46,4.42,2.74,965
3984,1.02,Good,D,SI2,57.7,64.0,6.7,6.62,3.84,4246
13259,1.06,Ideal,H,VS2,62.3,53.0,6.58,6.56,4.09,6619
216,1.5,Very Good,F,VS1,60.5,55.0,7.39,7.48,4.5,15585
6895,2.01,Premium,I,SI2,62.3,59.0,8.01,7.97,4.98,12182
4112,0.3,Ideal,D,VS2,62.3,54.0,4.29,4.34,2.69,710
265,0.34,Ideal,G,VVS1,60.5,55.0,4.53,4.56,2.75,844
8450,0.73,Premium,D,VS1,60.0,58.0,5.9,5.86,3.53,3557
9703,1.06,Ideal,F,I1,61.8,55.0,6.55,6.58,4.06,3544
22421,0.4,Premium,D,SI1,61.4,56.0,4.83,4.72,2.93,990
5985,0.51,Premium,G,VS1,62.5,58.0,5.09,5.11,3.19,1656
25144,0.7,Ideal,F,SI1,62.0,55.0,5.72,5.7,3.54,2415
2259,2.09,Very Good,H,SI1,61.1,56.0,8.23,8.3,5.05,18392
14314,0.4,Premium,F,VVS2,60.7,58.0,4.75,4.7,2.87,1163
3055,0.32,Ideal,F,VS1,61.9,57.0,4.38,4.41,2.72,716
3617,0.9,Fair,D,SI1,64.5,61.0,6.05,6.01,3.89,3689
20887,0.91,Premium,E,SI2,61.6,60.0,6.14,6.1,3.77,3846
24087,0.33,Ideal,D,VS2,62.1,56.0,4.44,4.48,2.77,781
19214,1.72,Good,J,SI2,63.2,57.0,7.56,7.6,4.79,7741
19388,0.4,Ideal,I,VVS2,61.9,56.4,4.72,4.74,2.93,728
9521,1.23,Very Good,H,I1,61.9,60.6,6.79,6.85,4.22,3835
23337,0.51,Ideal,E,SI2,61.0,56.0,5.16,5.2,3.16,1098
25297,0.8,Ideal,F,SI1,62.8,54.0,5.9,5.97,3.74,2975
876,0.27,Ideal,I,VS2,62.1,56.0,4.14,4.18,2.58,534
17520,2.01,Good,J,SI1,63.6,59.0,8.01,7.96,5.08,12369
4136,2.74,Very Good,J,SI2,61.5,62.0,8.87,8.9,5.46,17164
10937,0.37,Premium,E,SI1,59.3,58.0,4.73,4.75,2.81,649
12504,0.41,Ideal,E,VS1,61.4,57.0,4.79,4.82,2.95,1079
26677,0.7,Ideal,H,VS2,61.5,56.0,5.71,5.73,3.52,3038
21916,1.0,Premium,F,VS1,62.0,59.0,6.42,6.35,3.96,7056
24977,1.5,Premium,H,SI2,62.2,60.0,7.29,7.24,4.52,7812
15145,0.34,Good,H,SI1,63.3,56.0,4.45,4.46,2.82,490
944,2.01,Premium,I,VS2,62.8,58.0,8.01,7.94,5.01,16778
25222,0.56,Very Good,F,VS2,60.0,57.0,5.34,5.39,3.22,1627
19313,0.31,Ideal,E,VVS2,61.0,56.0,4.43,4.39,2.69,1046
18524,0.31,Ideal,G,IF,62.8,56.0,4.34,4.39,2.74,786
17216,0.55,Ideal,I,SI1,61.3,56.0,5.29,5.34,3.26,1367
3630,0.43,Ideal,F,VS2,61.4,54.0,4.9,4.93,3.02,848
22060,0.96,Good,H,SI2,56.7,62.0,6.51,6.39,3.66,3454
3263,1.58,Premium,G,VS2,,58.0,7.68,7.64,4.46,11786
10000,0.73,Ideal,F,SI1,62.1,55.0,5.75,5.78,3.58,2822
21194,0.45,Premium,I,SI1,60.3,59.0,4.99,4.93,2.99,941
14429,0.43,Very Good,G,SI1,58.9,60.0,4.94,4.97,2.92,774
13555,0.51,Premium,E,VS2,61.3,60.0,5.16,5.11,3.15,1781
6888,0.7,Premium,D,SI2,60.5,58.0,5.8,5.74,3.49,2354
1561,2.0,Very Good,H,SI1,60.9,58.0,8.07,8.15,4.94,16280
3343,0.73,Very Good,D,VS1,62.2,56.0,5.72,5.75,3.57,3856
16426,2.7,Very Good,H,SI2,63.1,56.0,8.84,8.78,5.56,14341
883,0.54,Good,G,VS1,59.0,62.0,5.3,5.28,3.12,1640
7808,0.36,Ideal,E,VS1,62.4,55.0,4.59,4.61,2.87,852
13622,0.77,Ideal,D,SI1,61.4,56.0,5.9,5.93,3.63,2996
5614,0.9,Good,G,SI2,63.4,59.0,6.04,6.08,3.84,3303
21865,1.11,Premium,E,VS2,62.2,58.0,6.61,6.64,4.12,7619
21324,1.03,Ideal,I,SI1,62.2,54.0,6.46,6.5,4.03,4782
16297,0.7,Ideal,I,VS2,61.1,57.0,5.7,5.75,3.5,2111
8639,1.01,Premium,H,VS2,61.6,59.0,6.41,6.39,3.94,5260
22051,0.43,Very Good,F,SI2,60.5,59.0,4.88,4.91,2.96,679
12099,0.55,Very Good,I,SI1,63.6,57.0,5.15,5.19,3.29,1149
6542,2.07,Ideal,G,SI2,62.2,54.0,8.16,8.21,5.09,17614
22218,1.07,Ideal,I,SI1,61.7,56.1,6.57,6.59,4.06,5002
6153,0.5,Premium,G,SI1,62.8,61.0,5.01,4.99,3.14,1286
26244,1.54,Ideal,G,SI1,61.5,55.0,7.4,7.45,4.57,11333
14768,0.51,Very Good,G,VS1,62.9,58.0,5.05,5.1,3.19,1656
21238,0.71,Ideal,F,SI1,63.0,54.0,5.73,5.69,3.6,2235
9782,2.0,Very Good,H,SI1,60.3,61.0,8.11,8.17,4.91,16092
13766,1.54,Very Good,D,SI1,63.0,59.0,7.31,7.35,4.62,13196
17460,0.54,Ideal,G,SI1,62.6,57.0,5.21,5.18,3.25,1389
10162,1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98,2856
18069,2.05,Ideal,H,VS2,61.6,57.0,8.2,8.14,5.03,18659
26746,2.01,Premium,H,SI2,60.5,61.0,8.14,8.09,4.91,16287
13243,2.01,Ideal,I,VS1,61.4,59.0,8.06,8.13,4.97,17227
23002,0.26,Ideal,E,VS1,62.3,57.0,4.05,4.08,2.53,556
7575,0.4,Ideal,I,VVS2,62.0,56.0,4.74,4.77,2.95,807
23430,1.01,Very Good,J,VS2,63.3,54.0,6.42,6.34,4.04,3620
18286,0.33,Ideal,I,IF,61.6,55.0,4.46,4.47,2.75,694
108,0.28,Very Good,G,SI1,62.0,55.0,4.2,4.25,2.62,382
17560,0.2,Premium,E,VS2,59.7,62.0,3.84,3.8,2.28,367
5193,2.01,Ideal,E,SI2,62.2,57.0,8.04,8.09,5.02,17688
9945,0.7,Premium,H,VVS2,62.1,58.0,5.71,5.66,3.53,2536
16135,0.34,Ideal,D,VS1,60.9,56.0,4.51,4.56,2.76,865
14527,0.5,Ideal,E,VS1,62.2,56.0,5.1,5.13,3.18,1619
14097,1.22,Premium,G,SI2,60.5,58.0,6.96,6.92,4.2,5739
21561,1.22,Premium,G,SI1,61.8,58.0,6.88,6.82,4.23,6777
22784,0.36,Premium,D,SI2,60.0,58.0,4.62,4.58,2.76,689
7359,0.33,Premium,E,VS1,60.9,58.0,4.49,4.45,2.72,1002
22765,1.29,Premium,F,VS1,61.3,61.0,7.05,6.95,4.29,10801
15754,1.01,Very Good,F,SI2,61.8,56.0,6.43,6.38,3.96,4298
17765,1.2,Very Good,I,SI1,62.6,58.2,6.71,6.74,4.21,5280
12441,0.37,Good,G,VS1,63.1,56.0,4.57,4.59,2.89,746
4954,0.82,Ideal,I,VS1,61.6,56.0,6.05,6.01,3.72,3071
1557,0.31,Ideal,D,VS2,62.7,57.0,4.3,4.34,2.71,734
25004,0.7,Very Good,E,SI2,63.1,54.0,5.73,5.65,3.59,2066
21361,0.4,Ideal,E,VS2,61.6,57.0,4.73,4.75,2.92,1092
8911,1.22,Ideal,H,VS1,62.7,55.0,6.82,6.73,4.25,5773
9008,1.22,Ideal,I,VS2,59.5,57.0,6.91,6.97,4.13,5761
21915,1.23,Ideal,G,VS2,62.4,57.0,6.88,6.83,4.28,8233
6079,0.3,Good,F,VS2,,55.0,4.25,4.28,2.71,484
18766,1.1,Ideal,F,SI2,60.4,55.0,6.77,6.73,4.08,4897
12725,0.71,Very Good,E,VS2,61.6,56.0,5.74,5.81,3.56,2630
1673,0.41,Ideal,E,VS1,61.8,57.0,4.79,4.76,2.95,1153
23425,0.35,Ideal,D,SI1,62.3,55.0,4.56,4.52,2.83,827
7197,0.79,Very Good,D,VS1,62.4,60.0,5.86,5.88,3.66,4213
8876,0.92,Ideal,H,SI2,,57.0,6.3,6.29,3.81,3854
25275,1.04,Very Good,D,VS2,63.1,54.0,6.44,6.53,4.09,7679
25592,0.4,Ideal,E,VVS2,61.8,56.0,4.77,4.74,2.94,1238
1742,0.35,Ideal,D,VS2,60.5,56.0,4.6,4.63,2.79,707
17253,0.38,Good,H,SI1,63.3,57.0,4.58,4.62,2.91,633
11867,1.02,Premium,F,SI2,60.0,60.0,6.57,6.53,3.93,4284
458,1.01,Ideal,G,SI1,62.3,57.0,6.41,6.36,3.98,4694
11988,0.9,Very Good,H,SI1,62.8,58.0,6.13,6.16,3.86,3437
13162,0.85,Fair,J,I1,65.5,59.0,5.95,5.82,3.86,1334
7332,1.2,Very Good,I,SI1,61.2,62.0,6.75,6.84,4.16,5226
1714,0.59,Ideal,D,SI1,61.8,56.0,5.37,5.4,3.33,1816
21318,1.52,Ideal,E,SI2,61.0,56.0,7.45,7.41,4.53,8299
15971,0.31,Very Good,E,VVS2,61.5,55.0,4.37,4.41,2.7,710
10044,0.34,Good,G,SI1,63.9,58.0,4.4,4.43,2.82,507
9476,1.53,Ideal,I,VS2,62.3,57.0,7.3,7.35,4.56,9189
20432,1.0,Good,E,VS2,57.4,58.0,6.57,6.61,3.78,6050
3771,1.53,Premium,I,SI2,62.1,59.0,7.35,7.37,4.57,7539
24069,0.57,Ideal,H,VS1,61.3,55.1,5.34,5.42,3.29,1720
17653,0.41,Ideal,F,IF,62.3,55.0,4.78,4.82,2.99,1439
10306,1.2,Very Good,I,SI1,62.6,57.0,6.74,6.77,4.23,5476
20513,0.31,Very Good,I,SI1,62.8,60.0,4.29,4.31,2.7,418
1869,1.14,Ideal,G,VS1,61.4,57.0,6.75,6.81,4.16,8346
18933,1.21,Good,G,VS2,63.7,59.0,6.59,6.67,4.22,6906
17458,0.31,Ideal,G,VS2,62.0,57.0,4.34,4.37,2.7,544
10778,0.99,Very Good,J,SI1,60.3,57.0,6.44,6.49,3.9,4002
24619,1.17,Ideal,H,SI1,61.1,57.0,6.77,6.83,4.16,6368
6411,0.55,Premium,G,VS2,59.6,59.0,5.32,5.36,3.18,1448
10111,0.42,Premium,F,VVS2,60.3,59.0,4.83,4.86,2.92,1142
20275,1.51,Premium,H,SI2,59.4,62.0,7.47,7.31,4.39,7235
20915,1.02,Very Good,F,SI1,63.5,57.0,6.4,6.35,4.05,4678
3757,0.59,Ideal,G,VS2,62.1,57.0,5.36,5.39,3.34,1774
5538,0.4,Ideal,G,VVS1,61.5,59.0,4.71,4.75,2.91,1051
20786,0.55,Very Good,F,SI1,,57.0,5.17,5.21,3.3,1271
17740,0.25,Very Good,H,VVS2,63.3,54.0,3.98,4.02,2.52,467
21120,0.31,Ideal,E,VVS2,61.6,55.0,4.38,4.35,2.69,1046
14464,1.64,Premium,I,SI2,61.3,58.0,7.58,7.62,4.66,8587
24683,0.33,Premium,I,VVS1,61.7,61.0,4.45,4.43,2.74,780
17322,0.76,Ideal,E,VS1,62.1,57.0,5.82,5.87,3.63,2947
23222,0.33,Premium,E,SI1,60.4,59.0,4.47,4.43,2.69,743
